Species	Missed	Added	Common	NbExperts	NbHelixer	NbExpertsRNA	NbHelixerRNA
Malus domestica	7110	5910	38005	45115	43640	45116	43640
Brachypodium distachyon	5632	3621	51203	56835	30904	56835	30904
Solanum lycopersicum	7677	3229	26397	34074	29773	34074	29773
Rosa chinensis Old Blush	7362	12196	32306	39668	43623	39668	43623
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
Zea mays B73	7081	7267	64706	71787	39693	71787	39693
TAIR12	1828	1727	30761	32589	27063	39150	27063
Arabidopsis lyrata	4522	3729	26956	31478	32372	31478	32372ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
ARAPORT11	2341	1479	45925	48266	27035	52177	27035
